60,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
61,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
62,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
63,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
64,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
65,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
66,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
67,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
68,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
69,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
70,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
71,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
72,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
73,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
74,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
75,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
76,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
77,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
78,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
79,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
80,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
81,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
82,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
83,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
84,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
85,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
86,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
87,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
88,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
89,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
90,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
91,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
92,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
93,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
94,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
95,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
96,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
97,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
98,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
99,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
100,"[100, 110[","[100, 120[","[80, 120[","[40, 120[","[40, 200["
112,"[110, 120[","[100, 120[","[80, 120[","[40, 120[","[40, 200["
129,"[120, 130[","[120, 140[","[120, 160[","[120, 200[","[40, 200["
147,"[140, 150[","[140, 160[","[120, 160[","[120, 200[","[40, 200["
188,"[180, 190[","[180, 200[","[160, 200[","[120, 200[","[40, 200["
