60.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
61.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
62.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
63.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
64.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
65.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
66.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
67.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
68.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
69.0,"[60, 70[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
70.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
71.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
72.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
73.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
74.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
75.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
76.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
77.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
78.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
79.0,"[70, 80[","[60, 80[","[40, 80[","[40, 120[","[40, 200["
80.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
81.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
82.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
83.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
84.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
85.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
85.3,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
85.6,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
86.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
87.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
88.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
89.0,"[80, 90[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
90.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
91.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
92.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
93.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
94.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
95.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
96.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
97.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
98.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
99.0,"[90, 100[","[80, 100[","[80, 120[","[40, 120[","[40, 200["
100.0,"[100, 110[","[100, 120[","[80, 120[","[40, 120[","[40, 200["
111.5,"[110, 120[","[100, 120[","[80, 120[","[40, 120[","[40, 200["
129.0,"[120, 130[","[120, 140[","[120, 160[","[120, 200[","[40, 200["
147.0,"[140, 150[","[140, 160[","[120, 160[","[120, 200[","[40, 200["
187.7,"[180, 190[","[180, 200[","[160, 200[","[120, 200[","[40, 200["
