9.2,"[0, 10[","[0, 20[","[0, 40[","[0, 80[","[0, 160["
14.8,"[10, 20[","[0, 20[","[0, 40[","[0, 80[","[0, 160["
15.9,"[10, 20[","[0, 20[","[0, 40[","[0, 80[","[0, 160["
16.3,"[10, 20[","[0, 20[","[0, 40[","[0, 80[","[0, 160["
17.1,"[10, 20[","[0, 20[","[0, 40[","[0, 80[","[0, 160["
19.9,"[10, 20[","[0, 20[","[0, 40[","[0, 80[","[0, 160["
23.0,"[20, 30[","[20, 40[","[0, 40[","[0, 80[","[0, 160["
29.2,"[20, 30[","[20, 40[","[0, 40[","[0, 80[","[0, 160["
29.6,"[20, 30[","[20, 40[","[0, 40[","[0, 80[","[0, 160["
30.1,"[30, 40[","[20, 40[","[0, 40[","[0, 80[","[0, 160["
34.2,"[30, 40[","[20, 40[","[0, 40[","[0, 80[","[0, 160["
44.6,"[40, 50[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
47.2,"[40, 50[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
47.8,"[40, 50[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
48.6,"[40, 50[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
49.3,"[40, 50[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
50.1,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
50.3,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
50.7,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
51.5,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
51.6,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
51.7,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
51.9,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
52.4,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
52.8,"[50, 60[","[40, 60[","[40, 80[","[0, 80[","[0, 160["
